iter	Recall	Logloss
620	0.8230940044	0.4630212166
621	0.8230940044	0.4629721924
622	0.8230940044	0.4629218428
623	0.8230940044	0.4628917683
624	0.8230940044	0.4628557097
625	0.8230940044	0.462834461
626	0.8230940044	0.4627947447
627	0.8230940044	0.4627633526
628	0.8230940044	0.4627345719
629	0.8238341969	0.4626583278
630	0.8238341969	0.462641735
631	0.8238341969	0.4626094732
632	0.8238341969	0.462575401
633	0.8238341969	0.4625500717
634	0.8238341969	0.4625307657
635	0.8238341969	0.4624964071
636	0.8238341969	0.4624491948
637	0.8238341969	0.4624181509
638	0.8238341969	0.4623585831
639	0.8238341969	0.4623215577
640	0.8238341969	0.462283691
641	0.8238341969	0.4622598017
642	0.8238341969	0.4622239945
643	0.8238341969	0.4621721512
644	0.8238341969	0.4621641841
645	0.8238341969	0.4621068602
646	0.8238341969	0.4620703283
647	0.8238341969	0.4620420452
648	0.8238341969	0.4620014321
649	0.8238341969	0.4619351116
650	0.8238341969	0.4619086861
651	0.8238341969	0.4618804529
652	0.8238341969	0.4618359222
653	0.8238341969	0.4617978619
654	0.8238341969	0.461762176
655	0.8238341969	0.4617158554
656	0.8238341969	0.4616601811
657	0.8238341969	0.4615939851
658	0.8238341969	0.4615659414
659	0.8238341969	0.4615402819
660	0.8238341969	0.4615155162
661	0.8238341969	0.461484395
662	0.8238341969	0.4614625308
663	0.8238341969	0.4614605185
664	0.8238341969	0.4614102241
665	0.8238341969	0.4613684659
666	0.8238341969	0.4613407881
667	0.8238341969	0.4613141523
668	0.8238341969	0.4612896661
669	0.8238341969	0.4612263157
670	0.8238341969	0.4611860116
671	0.8238341969	0.4611580731
672	0.8238341969	0.4611387719
673	0.8238341969	0.461091662
674	0.8238341969	0.4610766618
675	0.8245743893	0.4610415022
676	0.8238341969	0.4609868641
677	0.8238341969	0.4609544287
678	0.8230940044	0.460922594
679	0.8230940044	0.4608846521
680	0.8230940044	0.4608269649
681	0.8230940044	0.4607803758
682	0.8230940044	0.4607591965
683	0.8230940044	0.4607463358
684	0.8230940044	0.4607343251
685	0.8230940044	0.460688839
686	0.8230940044	0.4606554994
687	0.8230940044	0.4606111038
688	0.8230940044	0.4605766772
689	0.8230940044	0.4605544213
690	0.8230940044	0.460532188
691	0.8230940044	0.4604957883
692	0.8230940044	0.460460759
693	0.8230940044	0.4604379722
694	0.8230940044	0.4604061678
695	0.8230940044	0.4603753008
696	0.8230940044	0.4603481368
697	0.8230940044	0.4603267879
698	0.8230940044	0.4602930525
699	0.8230940044	0.4602692942
700	0.8230940044	0.4602504659
701	0.8238341969	0.4602354052
702	0.8238341969	0.4601966118
703	0.8238341969	0.4601357502
704	0.8238341969	0.4601007521
705	0.8230940044	0.4600782127
706	0.8230940044	0.4600431749
707	0.8230940044	0.4600195905
708	0.8230940044	0.4600012249
709	0.8230940044	0.4599926917
710	0.8230940044	0.4599569724
711	0.8230940044	0.4599351878
712	0.8230940044	0.4598951063
713	0.8230940044	0.4598479886
714	0.8230940044	0.4598048358
715	0.8230940044	0.4597739675
716	0.8230940044	0.4597456105
717	0.8230940044	0.4596851297
718	0.8238341969	0.4596670845
719	0.8238341969	0.4596434144
720	0.8238341969	0.4596161892
721	0.8238341969	0.4595808211
722	0.8238341969	0.4595554016
723	0.8238341969	0.4595103356
724	0.8238341969	0.459493023
725	0.8238341969	0.4594672761
726	0.8238341969	0.4594058985
727	0.8238341969	0.4593721805
728	0.8238341969	0.4593551844
729	0.8238341969	0.4593316777
730	0.8238341969	0.4593139306
731	0.8238341969	0.4592889875
732	0.8238341969	0.4592637135
733	0.8245743893	0.4592280749
734	0.8245743893	0.4592042908
735	0.8238341969	0.4591707257
